"","Date","region1","region2","region3","region1_alt","region2_alt","region3_alt"
"492",19010507,NA,NA,NA,NA,NA,NA
"493",19010508,NA,NA,NA,NA,NA,NA
"494",19010509,NA,NA,NA,NA,NA,NA
"495",19010510,NA,NA,NA,NA,NA,NA
"496",19010511,NA,NA,NA,NA,NA,NA
"497",19010512,NA,NA,NA,NA,NA,NA
"498",19010513,NA,NA,NA,NA,NA,NA
"499",19010514,NA,NA,NA,NA,NA,NA
"500",19010515,NA,NA,NA,NA,NA,NA
"501",19010516,NA,NA,NA,NA,NA,NA
"502",19010517,NA,NA,NA,NA,NA,NA
"503",19010518,NA,NA,NA,NA,NA,NA
"504",19010519,NA,NA,NA,NA,NA,NA
"505",19010520,NA,NA,NA,NA,NA,NA
"506",19010521,NA,NA,NA,NA,NA,NA
"507",19010522,NA,NA,NA,NA,NA,NA
"508",19010523,NA,NA,NA,NA,NA,NA
"509",19010524,NA,NA,NA,NA,NA,NA
"510",19010525,NA,NA,NA,NA,NA,NA
"511",19010526,NA,NA,NA,NA,NA,NA
"512",19010527,NA,NA,NA,NA,NA,NA
"513",19010528,NA,NA,NA,NA,NA,NA
"514",19010529,NA,NA,NA,NA,NA,NA
"515",19010530,NA,NA,NA,NA,NA,NA
"516",19010531,NA,NA,NA,NA,NA,NA
"517",19010601,NA,NA,NA,NA,NA,NA
"518",19010602,NA,NA,NA,NA,NA,NA
"519",19010603,NA,NA,NA,NA,NA,NA
"520",19010604,NA,NA,NA,NA,NA,NA
"521",19010605,NA,NA,NA,NA,NA,NA
"522",19010606,NA,NA,NA,NA,NA,NA
"523",19010607,NA,NA,NA,NA,NA,NA
"524",19010608,NA,NA,NA,NA,NA,NA
"525",19010609,NA,NA,NA,NA,NA,NA
"526",19010610,NA,NA,NA,NA,NA,NA
"527",19010611,NA,NA,NA,NA,NA,NA
"528",19010612,NA,NA,NA,NA,NA,NA
"529",19010613,NA,NA,NA,NA,NA,NA
"530",19010614,NA,NA,NA,NA,NA,NA
"531",19010615,NA,NA,NA,NA,NA,NA
"532",19010616,NA,NA,NA,NA,NA,NA
"533",19010617,NA,NA,NA,NA,NA,NA
"534",19010618,NA,NA,NA,NA,NA,NA
"535",19010619,NA,NA,NA,NA,NA,NA
"536",19010620,NA,NA,NA,NA,NA,NA
"537",19010621,NA,NA,NA,NA,NA,NA
"538",19010622,NA,NA,NA,NA,NA,NA
"539",19010623,NA,NA,NA,NA,NA,NA
"540",19010624,NA,NA,NA,NA,NA,NA
"541",19010625,NA,NA,NA,NA,NA,NA
"542",19010626,NA,NA,NA,NA,NA,NA
"543",19010627,NA,NA,NA,NA,NA,NA
"544",19010628,NA,NA,NA,NA,NA,NA
"545",19010629,NA,NA,NA,NA,NA,NA
"546",19010630,NA,NA,NA,NA,NA,NA
"547",19010701,NA,NA,NA,NA,NA,NA
"548",19010702,NA,NA,NA,NA,NA,NA
"549",19010703,NA,NA,NA,NA,NA,NA
"550",19010704,NA,NA,NA,NA,NA,NA
"551",19010705,NA,NA,NA,NA,NA,NA
"552",19010706,NA,NA,NA,NA,NA,NA
"553",19010707,NA,NA,NA,NA,NA,NA
